geoid_o,geoid_d,visitor_flows,lng_o,lat_d,date_range
AE,16,12,-114.6594139607683,44.389055086057056,06/01/20 - 06/07/20
BR,16,4,-114.6594139607683,44.389055086057056,06/01/20 - 06/07/20
CA,16,159,-114.6594139607683,44.389055086057056,06/01/20 - 06/07/20
CN,16,4,-114.6594139607683,44.389055086057056,06/01/20 - 06/07/20
CR,16,13,-114.6594139607683,44.389055086057056,06/01/20 - 06/07/20
ET,16,4,-114.6594139607683,44.389055086057056,06/01/20 - 06/07/20
IQ,16,8,-114.6594139607683,44.389055086057056,06/01/20 - 06/07/20
JO,16,8,-114.6594139607683,44.389055086057056,06/01/20 - 06/07/20
MX,16,68,-114.6594139607683,44.389055086057056,06/01/20 - 06/07/20
NG,16,4,-114.6594139607683,44.389055086057056,06/01/20 - 06/07/20
PE,16,4,-114.6594139607683,44.389055086057056,06/01/20 - 06/07/20
QA,16,4,-114.6594139607683,44.389055086057056,06/01/20 - 06/07/20
TH,16,12,-114.6594139607683,44.389055086057056,06/01/20 - 06/07/20
AE,17,79,-89.14863899339443,40.124200826969364,06/01/20 - 06/07/20
AU,17,4,-89.14863899339443,40.124200826969364,06/01/20 - 06/07/20
BA,17,4,-89.14863899339443,40.124200826969364,06/01/20 - 06/07/20
BB,17,4,-89.14863899339443,40.124200826969364,06/01/20 - 06/07/20
BR,17,22,-89.14863899339443,40.124200826969364,06/01/20 - 06/07/20
BY,17,16,-89.14863899339443,40.124200826969364,06/01/20 - 06/07/20
CA,17,883,-89.14863899339443,40.124200826969364,06/01/20 - 06/07/20
CL,17,4,-89.14863899339443,40.124200826969364,06/01/20 - 06/07/20
CO,17,47,-89.14863899339443,40.124200826969364,06/01/20 - 06/07/20
CR,17,8,-89.14863899339443,40.124200826969364,06/01/20 - 06/07/20
DO,17,4,-89.14863899339443,40.124200826969364,06/01/20 - 06/07/20
EC,17,4,-89.14863899339443,40.124200826969364,06/01/20 - 06/07/20
ET,17,4,-89.14863899339443,40.124200826969364,06/01/20 - 06/07/20
GH,17,4,-89.14863899339443,40.124200826969364,06/01/20 - 06/07/20
GT,17,4,-89.14863899339443,40.124200826969364,06/01/20 - 06/07/20
HN,17,5,-89.14863899339443,40.124200826969364,06/01/20 - 06/07/20
ID,17,20,-89.14863899339443,40.124200826969364,06/01/20 - 06/07/20
IR,17,4,-89.14863899339443,40.124200826969364,06/01/20 - 06/07/20
JO,17,26,-89.14863899339443,40.124200826969364,06/01/20 - 06/07/20
JP,17,12,-89.14863899339443,40.124200826969364,06/01/20 - 06/07/20
KE,17,4,-89.14863899339443,40.124200826969364,06/01/20 - 06/07/20
KR,17,16,-89.14863899339443,40.124200826969364,06/01/20 - 06/07/20
KW,17,13,-89.14863899339443,40.124200826969364,06/01/20 - 06/07/20
MX,17,614,-89.14863899339443,40.124200826969364,06/01/20 - 06/07/20
NG,17,100,-89.14863899339443,40.124200826969364,06/01/20 - 06/07/20
NP,17,11,-89.14863899339443,40.124200826969364,06/01/20 - 06/07/20
PE,17,8,-89.14863899339443,40.124200826969364,06/01/20 - 06/07/20
PH,17,16,-89.14863899339443,40.124200826969364,06/01/20 - 06/07/20
PK,17,13,-89.14863899339443,40.124200826969364,06/01/20 - 06/07/20
QA,17,16,-89.14863899339443,40.124200826969364,06/01/20 - 06/07/20
RU,17,20,-89.14863899339443,40.124200826969364,06/01/20 - 06/07/20
SA,17,4,-89.14863899339443,40.124200826969364,06/01/20 - 06/07/20
SO,17,4,-89.14863899339443,40.124200826969364,06/01/20 - 06/07/20
SY,17,4,-89.14863899339443,40.124200826969364,06/01/20 - 06/07/20
